1.00000 0.11071 0.14018 0.09759 0.02118 0.10304 0.06883 0.11441 0.08326 0.23927 0.09655 0.12787 0.12150 0.08184 0.07815 0.04822 0.34839 0.15071 0.16155 0.05797 0.17450 0.03270 0.03679 0.02638 0.17160 0.09878 0.10825 0.12893 0.18151 0.16809 0.10641 0.09062 0.37966 0.32430 0.34942 0.44199 0.42736 0.37690 0.41003 0.17049 0.16347 0.20930 0.22016 0.22648 0.33144 0.25052 0.42827 0.40146 0.24449 0.22022 0.28439 0.28064 0.34995 0.16115 0.16927 0.06639 0.03208 0.02096 0.09998 0.10000
0.11071 1.00000 0.84843 0.86164 0.82132 0.13419 0.18848 0.26358 0.29537 0.22905 0.14581 0.14861 0.12977 0.26090 0.13291 0.10387 0.49214 0.57951 0.72373 0.24986 0.24977 0.11787 0.09102 0.07468 0.26059 0.14996 0.19196 0.24896 0.21954 0.17989 0.13776 0.12069 0.29337 0.12808 0.16059 0.25253 0.16715 0.04835 0.04733 0.40086 0.12758 0.34546 0.36020 0.17230 0.31040 0.36862 0.26018 0.28258 0.24622 0.29109 0.31362 0.17506 0.12485 0.19631 0.28490 0.14207 0.09197 0.08110 0.11481 0.45993
0.14018 0.84843 1.00000 0.97347 0.93731 0.15298 0.16224 0.16890 0.25058 0.24762 0.17329 0.22813 0.21294 0.24448 0.14511 0.15714 0.25598 0.18973 0.41435 0.16298 0.34103 0.14539 0.14218 0.13194 0.26138 0.20013 0.24505 0.27278 0.30399 0.28145 0.21942 0.17738 0.33013 0.24490 0.16967 0.29474 0.24623 0.09782 0.07541 0.57947 0.25575 0.36646 0.36982 0.32699 0.38326 0.36351 0.39349 0.36315 0.32137 0.36332 0.38026 0.29756 0.25106 0.25649 0.30768 0.16098 0.13372 0.12169 0.22141 0.27860
0.09759 0.86164 0.97347 1.00000 0.97632 0.09253 0.10782 0.20437 0.15092 0.16523 0.12923 0.16004 0.19682 0.25032 0.15283 0.17009 0.24787 0.18009 0.36721 0.12759 0.26221 0.11339 0.11056 0.10385 0.21067 0.14706 0.20161 0.20900 0.21636 0.18468 0.15658 0.14005 0.30062 0.19276 0.19238 0.27717 0.21774 0.11553 0.11012 0.49402 0.14886 0.22397 0.24576 0.19229 0.29687 0.24905 0.28302 0.29773 0.22661 0.23954 0.24252 0.18924 0.16873 0.16835 0.24969 0.12873 0.13175 0.05015 0.11882 0.21017
0.02118 0.82132 0.93731 0.97632 1.00000 0.03048 0.02723 0.05304 0.04167 0.04399 0.05045 0.05669 0.10970 0.18125 0.09164 0.11582 0.11535 0.09761 0.25884 0.04689 0.11267 0.03826 0.03713 0.03563 0.05967 0.04776 0.08535 0.06615 0.08503 0.05209 0.04411 0.03899 0.12408 0.04146 0.03719 0.09425 0.06347 0.01125 0.00776 0.38380 0.03834 0.07299 0.08242 0.04682 0.13828 0.07814 0.11584 0.10282 0.09285 0.09804 0.07558 0.05514 0.03972 0.05216 0.12262 0.04465 0.07716 0.02065 0.06096 0.13546
0.10304 0.13419 0.15298 0.09253 0.03048 1.00000 0.12035 0.10759 0.11290 0.26087 0.16047 0.28892 0.24620 0.22215 0.18370 0.17038 0.25150 0.24420 0.26229 0.22320 0.34773 0.22864 0.14087 0.13254 0.44483 0.25031 0.24586 0.22220 0.23595 0.25379 0.17567 0.19108 0.28271 0.17965 0.15119 0.19061 0.15056 0.07968 0.07056 0.23491 0.15365 0.32196 0.27186 0.35884 0.31137 0.56052 0.28985 0.31105 0.27302 0.25878 0.28843 0.27026 0.38919 0.43823 0.40959 0.26031 0.21312 0.69735 0.19066 0.21058
0.06883 0.18848 0.16224 0.10782 0.02723 0.12035 1.00000 0.38731 0.50687 0.24366 0.13990 0.40769 0.25106 0.28467 0.17860 0.14564 0.23957 0.19294 0.36386 0.18508 0.28549 0.12969 0.13159 0.11936 0.41460 0.31238 0.26618 0.42040 0.41913 0.33997 0.66560 0.49925 0.28686 0.20411 0.29946 0.29791 0.24126 0.19572 0.12616 0.32169 0.21938 0.54272 0.55763 0.26624 0.30344 0.38258 0.29585 0.40172 0.22545 0.37345 0.35386 0.19794 0.17701 0.19561 0.28297 0.13239 0.10049 0.09309 0.12228 0.22963
0.11441 0.26358 0.16890 0.20437 0.05304 0.10759 0.38731 1.00000 0.23852 0.24103 0.18275 0.20805 0.22995 0.19785 0.15476 0.13598 0.24553 0.22295 0.33811 0.16288 0.38691 0.14854 0.17046 0.15243 0.52763 0.21190 0.36784 0.43973 0.35045 0.28144 0.34267 0.29257 0.50317 0.23872 0.46506 0.50372 0.24441 0.12924 0.11031 0.27934 0.24354 0.37138 0.44681 0.28881 0.41127 0.45613 0.41030 0.55299 0.33983 0.31329 0.39058 0.27913 0.21204 0.26931 0.31356 0.21035 0.10253 0.07388 0.14066 0.26573
0.08326 0.29537 0.25058 0.15092 0.04167 0.11290 0.50687 0.23852 1.00000 0.46369 0.16080 0.31158 0.17913 0.20907 0.14865 0.12764 0.24394 0.21345 0.45931 0.23033 0.33642 0.18157 0.17442 0.15193 0.35704 0.25497 0.26459 0.53029 0.44269 0.45103 0.40606 0.32379 0.30562 0.27406 0.21980 0.32233 0.29849 0.12228 0.08717 0.32306 0.27556 0.80118 0.75368 0.34017 0.36516 0.57596 0.35833 0.36450 0.23728 0.51450 0.52245 0.22204 0.15973 0.49057 0.51360 0.24387 0.12784 0.08213 0.22809 0.37481
0.23927 0.22905 0.24762 0.16523 0.04399 0.26087 0.24366 0.24103 0.46369 1.00000 0.26856 0.32182 0.30185 0.28366 0.23454 0.20870 0.39727 0.34783 0.42833 0.32104 0.47093 0.27323 0.27452 0.24878 0.44514 0.33690 0.38584 0.48564 0.41780 0.43322 0.44999 0.31932 0.37402 0.49686 0.24847 0.39261 0.50782 0.12754 0.08100 0.44507 0.39891 0.47207 0.46742 0.74639 0.47710 0.58430 0.52890 0.48718 0.41592 0.48516 0.60351 0.41942 0.34753 0.37185 0.41827 0.22639 0.15924 0.14120 0.19913 0.28768
