93143 67356 116323 48444 46567 16416 126 38787 32145 9684 10528 15063 21281 15480 6011 10233 2677 5543 4336 4191 2605 2191 1585 1181 0
72020 123647 5917 11525 43078 39226 0 89080 61318 12680 13186 18079 7445 9038 13145 13549 2965 8550 43398 8711 3959 38370 15058 4582 368
7872 41603 1439 2063 2566 18624 0 22034 2117 2432 4195 8089 1922 1527 1897 1051 632 3521 1611 547 5235 2739 35445 121 0
514349 157221 12263 31588 64406 151427 96 540334 68507 27562 33601 17064 36416 81800 66829 20415 18779 16211 66206 11013 2291 40019 8419 5266 0
53148 44299 2059 38907 53853 51446 231 40791 10531 16546 570665 4940 14649 10690 18190 609 2584 6493 3940 3408 0 4460 16992 2228 0
14022 73641 302 7388 26014 16477 93 731 988 7880 1415 32409 76419 3436 62983 1287 2091 6175 3926 119515 2992 57 1296 10959 224
860259 196036 6926 336337 300399 20362 0 8928 5719 5556 657050 23542 27243 28600 16235 2141 4375 43444 127230 132965 9135 1962 18482 7767 524
40679 39906 1794 111115 50559 16642 98 2900 5340 19768 12237 22469 53534 4874 44752 307 8951 10177 5849 26276 16690 160 6882 12909 0
489377 534770 7957 29963 235401 219267 0 22763 74583 348145 17370 275460 53794 47331 259375 5721 18233 70835 50165 131511 171092 1171 31528 85209 5267
8609 16481 103 29913 58452 20805 0 2632 434 7047 2672 7921 226353 1702 15294 0 878 1554 4263 86714 5593 0 434 3221 0
53347 11042 0 54 23380 13436 273 514 4712 11206 690 428 12782 29572 171034 246 747 20670 39981 7053 0 11675 138 667 0
3589 58491 0 4525 30176 2135 0 41 865 1118 1434 323 204 1961 839 217 87 2813 616 2031 42 159 0 0 0
150175 276702 995 9323 128236 35912 254 576 34634 42381 6654 2463 16963 50797 35578 10327 6949 23630 5975 535 0 84 8351 1269 157
533926 976863 8522 40613 2670363 972101 9322 53888 99864 201800 65657 11827 483225 400182 695322 45071 30207 146515 645133 30045 381 25976 44544 23574 6582
254 82 0 0 524 0 0 931 0 0 0 0 0 130 0 0 0 0 0 0 0 0 0 0 0
12687 2068 0 252 10113 2673 0 249 300 1371 414 4351 382 480 11068 223 1301 409 3426 1867 128 0 539 120 0
2987 3560 0 1216 126 2990 0 0 48 1492 0 724 345 1536 242 42 0 4762 16731 69 0 283 0 911 0
17891 8235 0 1850 52621 5760 0 729 243 1106 0 45 701 9844 6612 0 304 5806 35915 421 115 0 1038 177 0
193465 256010 806 9032 8901992 180255 2723 1504 225114 126694 6438 15648 76104 228579 97719 21250 21265 8402 12356 39397 2185 1733 8009 229554 0
722075 76227 1443 33006 15773516 98274 65 4482 16374 80511 9113 35333 104890 187122 113922 10890 6736 45704 35371 27746 653 906 1895 7342 2574
15385 5702 187 44999 75858 2925 0 72 809 10107 18859 1791 663 522 5127 96 107 3789 9613 324 1284 390 80 2458 0
80003 19109 4314 281097 396767 3420 0 10054 262 68412 4077 3635 310 1456 4132 928 805 1462 5056 10564 291 160 172 6356 0
29620 14248 552 241321 360391 2129 0 1409 1234 1631 24927 4518 14741 2276 2858 1174 3199 1937 7659 1491 3750 1423 2231 3558 0
75516 145840 1214 286438 355516 18625 0 16385 405 3491 10183 14087 21006 7731 4403 2474 68 3099 34840 21748 1954 1652 6748 8109 0
9372 3550 40 90041 64684 4609 0 366 0 377 2183 2541 37349 40 2373 0 0 300 3166 43669 1960 57 0 2285 0
114953 85142 2310 23539 174672 93214 46 33992 14812 23060 5616 13816 23623 8642 39554 12334 904 20194 44103 40525 8114 1994 4067 10845 7566
