93143 67356 116323 48444 46567 16416 126 38787 32145 9684 10528 15063 21281 15480 6011 10233 2677 5543 4336 4191 2605 2191 1585 1181 0 85604 113368 31975 20386 38211 38050 14914 477975 43809 8133 19534 9715 10324 10028 14614 7820 138059 21104 19534 23524 20329 35673 2794 21732 22287
72020 123647 5917 11525 43078 39226 0 89080 61318 12680 13186 18079 7445 9038 13145 13549 2965 8550 43398 8711 3959 38370 15058 4582 368 250333 144906 59067 138306 170368 71829 43742 64625 99074 48456 9184 12989 30425 5692 69914 26479 16856 16994 9184 3008 10763 17437 17149 119548 10253
7872 41603 1439 2063 2566 18624 0 22034 2117 2432 4195 8089 1922 1527 1897 1051 632 3521 1611 547 5235 2739 35445 121 0 26390 40741 5965 14702 46733 12818 1773 5236 5686 1709 6284 2370 1637 597 2477 8205 1111 2900 6284 484 2308 3175 612 10009 1621
514349 157221 12263 31588 64406 151427 96 540334 68507 27562 33601 17064 36416 81800 66829 20415 18779 16211 66206 11013 2291 40019 8419 5266 0 555221 262283 265624 140710 537599 217712 91778 219445 107154 43914 81088 12467 83922 8844 266013 105125 30749 26023 81088 28722 53305 30981 8598 83886 12071
53148 44299 2059 38907 53853 51446 231 40791 10531 16546 570665 4940 14649 10690 18190 609 2584 6493 3940 3408 0 4460 16992 2228 0 147181 70143 70733 137609 90405 29848 25577 32769 144284 15591 18016 7422 32406 1644 32381 52523 11651 11640 18016 5143 66174 6870 1430 22979 63197
14022 73641 302 7388 26014 16477 93 731 988 7880 1415 32409 76419 3436 62983 1287 2091 6175 3926 119515 2992 57 1296 10959 224 54464 45786 84926 87319 14239 51307 280022 46500 4130 41775 42565 3243 21233 1678 22795 351 51295 9662 42565 8132 16090 23972 204299 720 27164
860259 196036 6926 336337 300399 20362 0 8928 5719 5556 657050 23542 27243 28600 16235 2141 4375 43444 127230 132965 9135 1962 18482 7767 524 263397 760710 110131 175954 135698 74621 46682 4137880 34014 3790 8487 45542 15199 5611 6860 27723 24104 768951 8487 15550 62051 36809 37038 3536 22317
40679 39906 1794 111115 50559 16642 98 2900 5340 19768 12237 22469 53534 4874 44752 307 8951 10177 5849 26276 16690 160 6882 12909 0 437636 77989 81334 64657 64496 85245 516885 122772 23080 25202 82983 36101 13505 5716 26843 3807 43179 28213 82983 4513 68232 25081 66326 5622 16111
489377 534770 7957 29963 235401 219267 0 22763 74583 348145 17370 275460 53794 47331 259375 5721 18233 70835 50165 131511 171092 1171 31528 85209 5267 1134210 3832250 1436112 1272330 332198 715616 1400048 359815 73133 58349 152630 48969 67225 10357 137541 126371 213511 432326 152630 59695 92858 399154 256337 17407 80987
8609 16481 103 29913 58452 20805 0 2632 434 7047 2672 7921 226353 1702 15294 0 878 1554 4263 86714 5593 0 434 3221 0 132496 37808 78441 24546 20939 39336 13857 11207 5557 6427 166276 5522 4502 1809 4556 3136 5035 6638 166276 1946 12001 107133 3340 2579 5527
53347 11042 0 54 23380 13436 273 514 4712 11206 690 428 12782 29572 171034 246 747 20670 39981 7053 0 11675 138 667 0 206840 97043 16459 86994 1735913 8204 2188 12708 217957 4999 1148 1782 3101 862 49031 3728 47888 86408 1148 60831 9785 250 4911 6403 538
3589 58491 0 4525 30176 2135 0 41 865 1118 1434 323 204 1961 839 217 87 2813 616 2031 42 159 0 0 0 10574 11073 2721 14068 43400 425 4102 2728 4004 1197 1458 297 0 126 3911 67 15903 7779 1458 1212 5596 1391 117 4085 726
150175 276702 995 9323 128236 35912 254 576 34634 42381 6654 2463 16963 50797 35578 10327 6949 23630 5975 535 0 84 8351 1269 157 197242 184766 133545 200550 417026 89899 13514 31896 51979 19146 53062 50436 63672 47527 37736 17226 467236 44093 53062 12490 1469102 6961 21705 28227 19590
533926 976863 8522 40613 2670363 972101 9322 53888 99864 201800 65657 11827 483225 400182 695322 45071 30207 146515 645133 30045 381 25976 44544 23574 6582 1202524 896203 585786 1093036 1533328 219726 343601 560955 1165391 254942 162486 97205 78355 72649 269327 140303 1853579 278152 162486 789294 254618 198510 112067 92055 2293166
254 82 0 0 524 0 0 931 0 0 0 0 0 130 0 0 0 0 0 0 0 0 0 0 0 798 1147 0 429 175 0 0 48 2895 47 0 0 0 168 50 63 3778 98 0 0 235 90 0 0 1414
12687 2068 0 252 10113 2673 0 249 300 1371 414 4351 382 480 11068 223 1301 409 3426 1867 128 0 539 120 0 7453 32658 11972 29572 5459 2893 4642 2186 4360 977 19698 683 2325 848 7088 1044 69593 13545 19698 232 2474 497 1237 3852 24366
2987 3560 0 1216 126 2990 0 0 48 1492 0 724 345 1536 242 42 0 4762 16731 69 0 283 0 911 0 7423 21318 437 2939 10422 1614 570 2298 0 875 1115 90 444 232 0 528 24878 4605 1115 49 5681 314 613 43 630
17891 8235 0 1850 52621 5760 0 729 243 1106 0 45 701 9844 6612 0 304 5806 35915 421 115 0 1038 177 0 21790 12861 5247 6313 24561 1643 11884 12084 6081 4754 1568 1617 219 643 364701 453 18550 9172 1568 11974 655 511 3034 1723 46
193465 256010 806 9032 8901992 180255 2723 1504 225114 126694 6438 15648 76104 228579 97719 21250 21265 8402 12356 39397 2185 1733 8009 229554 0 510647 204423 106751 124961 279981 55075 50681 147835 255096 52180 232273 40402 236325 11872 839871 21565 27535 1965936 232273 25929 26022 19900 146558 10438 51330
722075 76227 1443 33006 15773516 98274 65 4482 16374 80511 9113 35333 104890 187122 113922 10890 6736 45704 35371 27746 653 906 1895 7342 2574 1034372 435505 110025 2305953 2197754 133602 42846 95101 132860 62522 57906 29714 35843 9891 55004 12818 71793 6040544 57906 44879 33384 39966 13689 14363 22502
15385 5702 187 44999 75858 2925 0 72 809 10107 18859 1791 663 522 5127 96 107 3789 9613 324 1284 390 80 2458 0 75301 60136 87734 45663 6750 24415 65076 27816 737 1025 140363 3634 1242 970 3678 423 1141 5506 140363 1515 5489 9380 6699 1426 454
80003 19109 4314 281097 396767 3420 0 10054 262 68412 4077 3635 310 1456 4132 928 805 1462 5056 10564 291 160 172 6356 0 77113 327900 33473 42524 159090 7101 30817 10108 40000 2939 13155 9010 3431 126 11252 4822 3866 3881 13155 4542 34134 65455 2250 23321 2343
29620 14248 552 241321 360391 2129 0 1409 1234 1631 24927 4518 14741 2276 2858 1174 3199 1937 7659 1491 3750 1423 2231 3558 0 155649 88720 132183 12089 102244 9974 59492 50198 4376 4399 5852 152 7568 1684 2121 826 6001 6921 5852 2448 32315 44303 10105 316 2247
75516 145840 1214 286438 355516 18625 0 16385 405 3491 10183 14087 21006 7731 4403 2474 68 3099 34840 21748 1954 1652 6748 8109 0 219426 346451 143656 18664 59135 39541 56412 32715 15341 1689 7523 2820 11925 3766 4198 15453 15356 13602 7523 16070 19251 45995 4245 5457 6534
9372 3550 40 90041 64684 4609 0 366 0 377 2183 2541 37349 40 2373 0 0 300 3166 43669 1960 57 0 2285 0 24112 30530 14268 4576 3200 6161 8313 3329 4828 3152 1199 0 220 329 2433 491 4051 1442 1199 649 14663 27112 4856 0 144
114953 85142 2310 23539 174672 93214 46 33992 14812 23060 5616 13816 23623 8642 39554 12334 904 20194 44103 40525 8114 1994 4067 10845 7566 1472161 368380 132804 176401 459458 147256 246475 38003 22116 266883 71998 5094 20455 8602 92364 17568 86291 48562 71998 374817 143950 1958 13354 5105 12915
41099 106427 190 876 77424 8493 0 3186 6487 3183 27934 24321 7042 1457 48293 2923 586 7566 6088 403617 1421 704 1067 41392 0 103954 112668 139849 88911 48025 26991 34550 13043 4890 432061 95698 5970 9375 5134 20455 6463 36108 44157 95698 15957 104174 4267 7027 10037 3444
55134 56848 0 174 211427 23160 191 6163 1009 5660 26066 4308 2072 4058 12869 3495 1453 3888 27783 23135 229 0 0 3852 0 133053 47342 39009 95670 43314 41533 25725 29015 83021 201008 368061 408 23259 1445 31349 3847 76398 11230 368061 6417 5472 4015 30909 162 5090
1707 1185 0 0 4271 0 0 0 0 40 0 220 0 0 747 0 117 290 666 0 810 0 0 0 0 1872 4865 1440 1364 1325 597 1501 289 734 195 18137 0 0 0 2913 0 2803 2586 18137 308 3911 1730 530 0 0
4765384 136618 5732 15704 360853 56056 159 53139 5786 37245 10028 30058 43034 67819 116007 4356 17739 104311 26051 74822 4586 175 3414 20602 902 345077 569503 125478 1324087 448727 594376 258888 58531 98951 525342 509177 266616 22891 12944 56354 33109 298894 130291 509177 20629 47620 41992 49416 19048 21258
8317 6163 576 307 14737 52339 0 3210 523 822 993 576 1176 654 2931 203 453 167 4382 1670 340 0 92 0 372 14944 21269 2752 58044 10642 2067 2208 9657 7286 6541 1508 548 3820 734 565 840 116074 576 1508 1782 3036 88 648 15605 1013
24466 13719 58 299 4559 4042 0 2312 590 183 2183 523 15554 2035 3175 2159 7587 164 143 335 49 2541 632 582 603 21488 36125 13276 7447 6850 8006 1257 3813 38306 1712 449 1386 1691 139 3497 3082 1716 2653 449 634 1479 1197 107 2972 1630
2521 4741 0 942 4521 379 0 12238 88 7058 1021 0 316 289 806 0 0 141 1493 257 0 0 0 129 0 3481 9121 776 10859 8276 467 140 0 1008 314 192 351 475 0 170 4030 1310 0 192 0 1363 0 0 4918 6005
6490 3885 0 4228 18634 3289 0 702 875 1859 1579 1333 4950 180 134 2703 0 1083 153 434 836 91 1139 2955 0 7465 24652 7918 5633 6615 1695 4459 1009 22583 2642 1821 3655 2182 1461 3033 4166 5402 4109 1821 62 5519 21809 0 554 912
74445 41508 403 15786 74958 48712 116 3786 22023 447795 14057 8067 14775 2337 6125 1575 6488 1845 3864 4259 0 607 7056 1236 583 119996 151972 68711 72561 31000 19230 7141 12289 38884 2164 8841 12072 34216 5146 16138 60848 38737 23054 8841 173019 233383 9401 5208 16326 7683
19266 18142 5584 4503 174179 5260 0 2176 7087 13655 692 20487 30110 2479 660 542 302 93776 23136 4825 8504 612 896 11484 0 158464 65586 79315 58370 63600 42064 43054 52410 16378 3449 25767 2884 8486 3336 3552 3242 23338 16428 25767 3857 5743 10395 8842 1864 8646
47347 49903 29777 13821 376397 42347 1207 6366 936 27331 7617 23957 14768 25822 19352 2565 1381 65043 13424 55834 8168 52 23460 11429 0 245333 236741 189569 145120 31848 67086 45026 12846 81071 23306 17738 14803 11214 3081 2052 5749 27898 64677 17738 6950 40783 26015 40983 505 61134
