0.0010 0.0100
0.0010 0.0200
0.0010 0.0300
0.0010 0.0400
0.0010 0.0500
0.0010 0.0600
0.0010 0.0700
0.0010 0.0800
0.0010 0.0900
0.0010 0.1000
0.0010 0.1500
0.0010 0.2000
0.0010 0.2500
0.0010 0.3000
0.0010 0.3500
0.0010 0.4000
0.0010 0.4500
0.0010 0.5000
0.0010 0.5500
0.0010 0.6000
0.0010 0.6500
0.0010 0.7000
0.0010 0.7500
0.0010 0.8000
0.0010 0.8500
0.0010 0.9000
0.0010 0.9500
0.0010 1.0000
0.0020 0.0100
0.0020 0.0200
0.0020 0.0300
0.0020 0.0400
0.0020 0.0500
0.0020 0.0600
0.0020 0.0700
0.0020 0.0800
0.0020 0.0900
0.0020 0.1000
0.0020 0.1500
0.0020 0.2000
0.0020 0.2500
0.0020 0.3000
0.0020 0.3500
0.0020 0.4000
0.0020 0.4500
0.0020 0.5000
0.0020 0.5500
0.0020 0.6000
0.0020 0.6500
0.0020 0.7000
0.0020 0.7500
0.0020 0.8000
0.0020 0.8500
0.0020 0.9000
0.0020 0.9500
0.0020 1.0000
0.0030 0.0100
0.0030 0.0200
0.0030 0.0300
0.0030 0.0400
0.0030 0.0500
0.0030 0.0600
0.0030 0.0700
0.0030 0.0800
0.0030 0.0900
0.0030 0.1000
0.0030 0.1500
0.0030 0.2000
0.0030 0.2500
0.0030 0.3000
0.0030 0.3500
0.0030 0.4000
0.0030 0.4500
0.0030 0.5000
0.0030 0.5500
0.0030 0.6000
0.0030 0.6500
0.0030 0.7000
0.0030 0.7500
0.0030 0.8000
0.0030 0.8500
0.0030 0.9000
0.0030 0.9500
0.0030 1.0000
0.0040 0.0100
0.0040 0.0200
0.0040 0.0300
0.0040 0.0400
0.0040 0.0500
0.0040 0.0600
0.0040 0.0700
0.0040 0.0800
0.0040 0.0900
0.0040 0.1000
0.0040 0.1500
0.0040 0.2000
0.0040 0.2500
0.0040 0.3000
0.0040 0.3500
0.0040 0.4000
0.0040 0.4500
0.0040 0.5000
0.0040 0.5500
0.0040 0.6000
0.0040 0.6500
0.0040 0.7000
0.0040 0.7500
0.0040 0.8000
0.0040 0.8500
0.0040 0.9000
0.0040 0.9500
0.0040 1.0000
0.0050 0.0100
0.0050 0.0200
0.0050 0.0300
0.0050 0.0400
0.0050 0.0500
0.0050 0.0600
0.0050 0.0700
0.0050 0.0800
0.0050 0.0900
0.0050 0.1000
0.0050 0.1500
0.0050 0.2000
0.0050 0.2500
0.0050 0.3000
0.0050 0.3500
0.0050 0.4000
0.0050 0.4500
0.0050 0.5000
0.0050 0.5500
0.0050 0.6000
0.0050 0.6500
0.0050 0.7000
0.0050 0.7500
0.0050 0.8000
0.0050 0.8500
0.0050 0.9000
0.0050 0.9500
0.0050 1.0000
0.0060 0.0100
0.0060 0.0200
0.0060 0.0300
