0.5200000000 0.5200000000 0.4860000000 0.2140000000 0.1900000000 0.1810000000 0.1670000000 0.1580000000 0.1430000000 0.0850000000 0.0790000000 0.0700000000 0.0690000000 0.0540000000 0.0540000000 0.0410000000 0.0410000000 0.0310000000 0.0240000000 0.0180000000 0.0180000000 0.0180000000 0.0130000000 0.0110000000 0.0000000001
0.4490000000 0.5920000000 0.0270000000 0.0480000000 0.1750000000 0.3030000000 0.0690000000 0.4350000000 0.2080000000 0.0530000000 0.0520000000 0.0750000000 0.0330000000 0.0680000000 0.0880000000 0.0750000000 0.0280000000 0.0310000000 0.1460000000 0.0410000000 0.0220000000 0.1630000000 0.0410000000 0.0310000000 0.0020000000
0.2050000000 0.4000000000 0.0270000000 0.0250000000 0.0560000000 0.2610000000 0.1150000000 0.4210000000 0.0610000000 0.0420000000 0.0670000000 0.0800000000 0.0270000000 0.0430000000 0.0450000000 0.0230000000 0.0140000000 0.0480000000 0.0390000000 0.0130000000 0.0400000000 0.0730000000 0.3670000000 0.0090000000 0.0000000001
0.4600000000 0.2940000000 0.0180000000 0.0490000000 0.1050000000 0.3010000000 0.0970000000 0.7420000000 0.0750000000 0.0420000000 0.0540000000 0.0230000000 0.0600000000 0.0780000000 0.0790000000 0.0220000000 0.0310000000 0.0200000000 0.0720000000 0.0140000000 0.0040000000 0.0620000000 0.0150000000 0.0110000000 0.0000000001
0.1230000000 0.1190000000 0.0050000000 0.0520000000 0.0920000000 0.1280000000 0.0530000000 0.0820000000 0.0300000000 0.0500000000 0.9610000000 0.0130000000 0.0390000000 0.0340000000 0.0540000000 0.0030000000 0.0120000000 0.0170000000 0.0100000000 0.0090000000 0.0020000000 0.0170000000 0.0230000000 0.0120000000 0.0000000001
0.1320000000 0.4500000000 0.0020000000 0.0480000000 0.1470000000 0.1030000000 0.0790000000 0.0080000000 0.0070000000 0.0710000000 0.0100000000 0.2060000000 0.4320000000 0.0240000000 0.4410000000 0.0060000000 0.0190000000 0.0260000000 0.0210000000 0.5480000000 0.0300000000 0.0010000000 0.0050000000 0.0840000000 0.0030000000
0.7940000000 0.1870000000 0.0060000000 0.3000000000 0.3280000000 0.0250000000 0.0590000000 0.0110000000 0.0110000000 0.0070000000 0.3250000000 0.0290000000 0.0270000000 0.0340000000 0.0420000000 0.0040000000 0.0090000000 0.0420000000 0.0950000000 0.1050000000 0.0110000000 0.0030000000 0.0220000000 0.0080000000 0.0010000000
0.2650000000 0.2430000000 0.0070000000 0.4780000000 0.3880000000 0.1310000000 0.2120000000 0.0160000000 0.0360000000 0.0970000000 0.0510000000 0.1530000000 0.4810000000 0.0380000000 0.2820000000 0.0010000000 0.0540000000 0.0390000000 0.0320000000 0.2290000000 0.1050000000 0.0090000000 0.0340000000 0.0920000000 0.0000000001
0.4700000000 0.5080000000 0.0090000000 0.0310000000 0.3090000000 0.2050000000 0.1730000000 0.0280000000 0.0820000000 0.2620000000 0.0160000000 0.2990000000 0.0680000000 0.0610000000 0.3190000000 0.0080000000 0.0310000000 0.0770000000 0.0690000000 0.1530000000 0.1660000000 0.0060000000 0.0290000000 0.1100000000 0.0100000000
0.0700000000 0.1290000000 0.0010000000 0.0910000000 0.2790000000 0.1110000000 0.0310000000 0.0110000000 0.0030000000 0.0470000000 0.0110000000 0.0460000000 0.8210000000 0.0130000000 0.1250000000 0.0000000001 0.0080000000 0.0100000000 0.0180000000 0.4270000000 0.0340000000 0.0030000000 0.0010000000 0.0380000000 0.0000000001
0.2000000000 0.0930000000 0.0000000001 0.0000000001 0.1220000000 0.0750000000 0.6190000000 0.0120000000 0.0210000000 0.0700000000 0.0070000000 0.0020000000 0.0640000000 0.2100000000 0.6540000000 0.0040000000 0.0090000000 0.0800000000 0.2380000000 0.0240000000 0.0000000001 0.0360000000 0.0020000000 0.0020000000 0.0000000001
0.1480000000 0.7100000000 0.0000000001 0.1040000000 0.4850000000 0.0920000000 0.4360000000 0.0060000000 0.0210000000 0.0370000000 0.0410000000 0.0040000000 0.0080000000 0.0990000000 0.0550000000 0.0030000000 0.0090000000 0.0940000000 0.0540000000 0.0250000000 0.0010000000 0.0250000000 0.0020000000 0.0000000001 0.0000000001
